[1] "time: 5, ate: 0.0028"
[1] "time: 6, ate: 0.0046"
[1] "time: 7, ate: 0.0041"
[1] "time: 8, ate: 0.0065"
[1] "time: 9, ate: 0.0047"
[1] "time: 10, ate: 0.0068"
[1] "time: 11, ate: 0.0077"
[1] "time: 12, ate: 0.0067"
[1] "time: 13, ate: 0.0079"
[1] "time: 14, ate: 0.0076"
[1] "time: 15, ate: 0.0077"
[1] "time: 16, ate: 0.0086"
[1] "time: 17, ate: 0.0068"
[1] "time: 18, ate: 0.007"
[1] "time: 19, ate: 0.0078"
[1] "time: 20, ate: 0.009"
[1] "time: 21, ate: 0.0095"
[1] "time: 22, ate: 0.0093"
[1] "time: 23, ate: 0.0107"
[1] "time: 24, ate: 0.0104"
[1] "time: 25, ate: 0.0099"
[1] "time: 26, ate: 0.0094"
[1] "time: 27, ate: 0.0104"
[1] "time: 28, ate: 0.0104"
[1] "time: 29, ate: 0.0105"
[1] "time: 30, ate: 0.0092"
[1] "time: 31, ate: 0.0102"
[1] "time: 32, ate: 0.0098"
[1] "time: 33, ate: 0.0101"
[1] "time: 34, ate: 0.0092"
[1] "time: 35, ate: 0.0094"
[1] "time: 36, ate: 0.0086"
[1] "time: 37, ate: 0.009"
[1] "time: 38, ate: 0.0087"
[1] "time: 39, ate: 0.0097"
[1] "time: 40, ate: 0.01"
[1] "time: 41, ate: 0.01"
[1] "time: 42, ate: 0.0101"
[1] "time: 43, ate: 0.0115"
[1] "time: 44, ate: 0.0109"
[1] "time: 45, ate: 0.0109"
[1] "time: 46, ate: 0.01"
[1] "time: 47, ate: 0.0106"
[1] "time: 48, ate: 0.0116"
[1] "time: 49, ate: 0.0115"
[1] "time: 50, ate: 0.0117"
[1] "time: 51, ate: 0.0119"
[1] "time: 52, ate: 0.0123"
[1] "time: 53, ate: 0.0125"
[1] "time: 54, ate: 0.0141"
